State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.51858	1.50817	1.49255	1.49949	1.54809	1.61925	1.69040	1.66958	1.71470	1.70429	1.73379	1.80321	1.78586	1.81709	1.78412	1.80668	1.79453	1.79974	1.79800	1.83619	1.81362
2	1.60747	1.68121	1.66646	1.67137	1.68612	1.72053	1.81393	1.91717	1.93191	2.01057	2.15804	2.20720	2.34976	2.31043	2.24652	2.23178	2.28585	2.17279	2.13838	2.03514	2.16296
3	3.86922	3.90753	3.70960	3.52444	3.36482	3.51806	3.53083	3.49890	3.26905	3.10304	2.93703	3.00088	2.63056	2.63056	2.67526	2.80295	2.64972	2.59225	2.88596	2.86680	2.80295
4	4.04172	3.97035	3.95532	3.90649	3.80883	3.67360	3.47828	3.39564	3.29798	3.15524	2.96743	2.91860	2.96743	3.03129	3.06509	3.07636	3.15900	3.21534	3.13646	3.20783	3.15149
5	1.91535	1.83653	1.82471	1.83653	1.84835	1.87988	1.87988	1.93900	1.89564	1.80894	1.77741	1.71041	1.56854	1.51730	1.52913	1.43848	1.45031	1.46607	1.50154	1.45819	1.46607
6	1.05264	1.05566	1.03756	0.98779	1.00438	0.96216	0.98327	0.94557	0.93049	0.92596	0.90183	0.88072	0.88374	0.83246	0.78722	0.77968	0.76158	0.75404	0.76912	0.77817	0.79778
7	3.28244	3.27213	3.27385	3.27428	3.26182	3.24163	3.21671	3.20382	3.17246	3.14410	3.10371	3.03368	2.98084	2.93573	2.86999	2.80597	2.72477	2.66720	2.60104	2.53401	2.48976
8	0.64667	0.64930	0.65179	0.65469	0.65637	0.65746	0.65819	0.66100	0.66676	0.67388	0.67887	0.68499	0.69357	0.69933	0.70881	0.71606	0.72482	0.73230	0.73852	0.74491	0.75031
9	1.08867	0.97033	0.97033	1.06500	1.11233	0.97033	1.13600	1.08867	1.18333	0.89933	1.25433	1.56200	1.27800	1.42000	1.42000	1.06500	1.23067	1.25433	1.27800	1.27800	1.06500
10	1.25450	1.25110	1.25256	1.25159	1.24965	1.25595	1.26128	1.26031	1.25838	1.25838	1.26904	1.26855	1.27146	1.26759	1.26128	1.26080	1.25886	1.25062	1.24092	1.24238	1.23753
