State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.55179	2.73559	2.85353	2.93165	2.91020	2.85353	2.67432	2.21022	1.66494	1.51484	1.40762	1.18553	1.08750	1.07831	1.18859	1.35248	1.57764	1.76757	1.84721	1.89010	1.91920
2	2.58137	2.57703	2.65946	3.05426	3.32325	3.47509	3.74408	4.03041	4.06946	3.34060	2.52931	1.93061	1.56618	1.39698	1.33624	1.16704	1.19307	1.27116	1.32756	1.29719	1.31455
3	5.17852	6.23789	7.58464	10.09219	13.62531	17.91350	23.85837	29.45951	32.92501	38.21059	37.91757	27.73522	24.39369	21.82979	19.73359	17.43453	14.40293	11.47839	8.77362	6.81265	5.64058
4	6.15277	7.12077	8.52304	10.44909	13.22049	16.51898	20.31805	24.74366	29.23227	30.06103	32.19925	39.52224	40.31785	39.47914	37.23152	33.06448	27.42887	21.90597	17.46378	14.32772	11.91435
5	5.07465	5.19290	4.99813	4.64683	3.83990	2.97383	2.03821	1.56518	1.26605	1.25562	1.49561	1.07475	1.21040	1.53735	2.56689	5.10595	8.93193	11.95794	13.88485	14.28831	14.17353
6	1.49866	1.33894	1.18854	0.95030	0.75865	0.61357	0.54835	0.49645	0.45652	0.45918	0.43123	0.44055	0.45253	0.48048	0.54835	0.65749	0.88509	1.44276	2.10291	2.81231	3.33804
7	0.77125	0.72082	0.67114	0.62754	0.57863	0.53426	0.48800	0.45122	0.43416	0.41899	0.41368	0.41861	0.42506	0.44326	0.45274	0.47701	0.51568	0.58545	0.66508	0.76783	0.88462
8	0.67519	0.65930	0.64045	0.61267	0.57880	0.53789	0.48625	0.43481	0.39582	0.37485	0.36712	0.36712	0.37597	0.38697	0.39882	0.41612	0.43425	0.44954	0.46511	0.47688	0.48741
9	1.10701	1.08612	1.27411	1.27411	1.16967	1.12790	1.42032	2.08870	2.31846	3.21660	3.59256	2.19313	1.69185	1.52475	1.50386	1.42032	1.33677	1.33677	1.31588	1.14878	0.89814
10	2.49409	2.50179	2.50351	2.46971	2.40340	2.29431	2.11035	1.86779	1.65474	1.48362	1.40020	1.42116	1.52341	1.66159	1.80062	1.92597	2.03848	2.11891	2.16469	2.19335	2.18993
