State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.01474	0.88814	1.45501	1.22079	1.73397	1.40766	2.00055	0.58453
2	0.71130	1.27926	1.67327	1.19845	2.15827	2.52939	2.40969	0.47206
3	0.54764	46.57597	5.94046	1.19249	2.93734	37.91874	17.41866	0.42756
4	0.93088	33.73353	6.13048	1.87516	2.96774	32.19693	19.73084	0.22264
5	0.88723	0.71727	1.74556	2.20988	1.77760	1.49566	4.46890	0.24078
6	2.31859	0.26304	1.07505	2.24117	0.90042	0.43124	0.98182	0.21116
7	8.13852	0.46635	3.58863	2.16396	3.10318	0.41370	0.60211	0.32402
8	77.08989	0.25972	0.58381	0.80049	0.67894	0.36713	0.51702	1.13350
9	0.14774	3.88659	1.25392	0.74138	1.25447	3.59267	1.68323	0.55936
10	7.21346	2.04536	1.17559	1.06767	1.26917	1.40024	2.09356	1.00384
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
