State (Emission order)	H3k36me3	H4k20me1	H3k9me3	H3k27me3	H3k4me3	H3k9ac	H3k27ac	H3k4me2	H3k4me1	H3k79me2
1	0.02114288227902857	0.00689016759622757	0.01850372493676718	0.0021886110176385014	0.025886143211953278	0.012136037874429687	0.09218700419640045	0.1374027031484976	0.5461580371637096	0.01809393002913031
2	0.027085153403243713	0.003913409684600435	0.019227951830087575	7.058281559502488E-4	0.4185385817495682	0.43151089069042325	0.9062067145500898	0.7394060048950207	0.8333877219250511	0.09476576941233618
3	3.5638924200881265E-4	0.012055637866233627	0.006071222065741049	0.08281369226864728	0.5101182666175246	0.3055452988279877	0.10977552771627035	0.8029807553071918	0.2627739325597592	0.02672672682750368
4	0.036073120379716626	0.030323110264208575	0.01066069239197348	0.002763756440112061	0.9447347663150134	0.955842010805743	0.8785228472341075	0.8938616746622801	0.2321300648164595	0.8164209701125872
5	0.14852055942423442	0.06099518606255518	0.02310871964375946	0.0015626725355351128	0.41052272850484817	0.125025677090271	0.34941054597935106	0.5732719839926436	0.5425575583858013	0.9251154729785622
6	0.12777930995422704	0.037806137599725766	0.02971230399278213	4.998365876500343E-4	0.012552354990134715	0.0029086658406939294	0.009611288395593885	0.021269208724962838	0.07251021498597628	0.6299722442335874
7	0.17663714720917303	0.009632392167408788	0.013473030793588333	5.378829298332534E-5	0.002206247126351841	7.695491531301007E-4	0.0015547172833065546	4.589124252601007E-4	0.004041291604839338	0.016896229463739303
8	7.795982690389917E-4	0.0015924316810567206	0.004015538698906914	0.0019021234002866423	0.001043018396681799	2.5883925020571375E-4	3.2302806536332787E-4	1.9544262564309117E-4	7.775217275933235E-4	7.86988983785671E-5
9	0.15363024610064616	0.11614984102754075	0.32485426214236635	0.4166064993371855	0.7742663021119436	0.04103829115290437	0.26758654969514173	0.027262745734213216	0.03597861910993867	0.010348148764855243
10	2.7913565709725396E-4	0.009319546575067795	0.0036548489438071163	0.0752786226490043	0.0016642538425005648	6.348402974105202E-4	9.853760728202373E-4	0.0016613789233874423	0.0035861245285259647	7.351842312782845E-5
