State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7607537472325029	0.05684689588280776	0.014432339308612771	9.444694851746869E-4	0.003520623253173672	0.0016880288218730412	0.028797489749681528	0.11918533825896345	4.379821078577112E-4	0.01339308589935272
2	0.1733168243127502	0.7987440875109565	0.0014869435419619147	0.016535107570602683	0.006911898764563528	3.5151756517020147E-4	0.0026034116623687596	0.0	5.0209071626179265E-5	0.0
3	0.058015916283498135	0.00149995593910726	0.7263919869008472	0.07692256996567173	0.001442820164007007	6.008591874315724E-4	0.00309710452436812	0.057365430173405035	0.0018397611626277243	0.07282359569903604
4	0.0017493704949164215	0.013460156908391382	0.045514416568873936	0.8721076706819918	0.06435994171675886	0.0012015438836398469	3.994747411877232E-4	0.0011416810645894337	6.574393965073019E-5	0.0
5	0.008628968534339523	0.005213831990737712	5.750950824651431E-4	0.06592142815608747	0.7927214381019348	0.1242071523857672	0.002536543916315023	1.4036556522249054E-4	5.5176267130699574E-5	0.0
6	0.0017649959514109957	3.298540117633938E-5	2.0215211997907473E-4	3.92276263746012E-4	0.04744217823964197	0.9193943688219307	0.030422968508338092	1.4899238564640083E-8	3.480597945379968E-4	0.0
7	0.007968303445615924	1.5051996123437972E-4	1.9718378332672832E-4	4.434705926965161E-5	2.4065659696215395E-4	0.008591520910629343	0.9766942052536627	0.004831613076085319	0.0012816499132137745	0.0
8	0.003471034592008736	0.0	4.493726030342999E-4	1.4524488200460857E-5	1.8363401534661537E-6	1.8060214404809644E-6	5.135189755761212E-4	0.9929728577023479	8.816096776362164E-4	0.0016934395996024865
9	0.006632738176909265	0.001141141340019607	0.0072272761759143685	6.463811196604551E-4	3.0314715840173105E-4	0.0048010576250315995	0.06496484289776866	0.40870165535668224	0.4579379959091963	0.047643764240415686
10	0.0035893464649990195	0.0	0.004755400282423898	0.0	0.0	0.0	0.0	0.015138719953740373	9.555980403366661E-4	0.9755609352585001
