CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	11031	14357	43.45	25388
2	9982	13076	43.29	23058
3	10053	12897	43.80	22950
4	9866	12943	43.25	22809
5	9833	12567	43.90	22400
6	9627	12735	43.05	22362
7	9397	12650	42.62	22047
8	9622	12581	43.34	22203
9	9660	12516	43.56	22176
10	9413	12808	42.36	22221
11	9534	12709	42.86	22243
12	9731	12858	43.08	22589
13	9827	12920	43.20	22747
14	9662	13026	42.59	22688
15	9597	12875	42.71	22472
16	9805	12831	43.32	22636
17	9755	12832	43.19	22587
18	9719	12767	43.22	22486
19	9841	12803	43.46	22644
20	9565	12965	42.45	22530
21	9824	13275	42.53	23099
22	9533	12900	42.50	22433
23	9698	12883	42.95	22581
24	9614	12858	42.78	22472
25	9863	12770	43.58	22633
26	9776	13132	42.68	22908
27	9879	13091	43.01	22970
28	9875	13120	42.94	22995
29	9924	13018	43.26	22942
30	9928	12958	43.38	22886
31	9652	13139	42.35	22791
32	9746	12859	43.11	22605
33	9889	12957	43.29	22846
34	9495	12785	42.62	22280
35	9644	12829	42.91	22473
36	9796	12804	43.35	22600
37	9709	12789	43.15	22498
38	9997	13149	43.19	23146
39	9795	13062	42.85	22857
40	9722	13029	42.73	22751
41	9867	13021	43.11	22888
42	9599	12885	42.69	22484
43	9736	12808	43.19	22544
44	9922	12762	43.74	22684
45	9630	12971	42.61	22601
46	9809	13153	42.72	22962
47	10087	13220	43.28	23307
48	9948	12908	43.52	22856
49	9888	12986	43.23	22874
50	9948	13066	43.23	23014
51	9892	12859	43.48	22751
52	9915	13070	43.14	22985
53	9941	12817	43.68	22758
54	9868	12861	43.42	22729
55	9620	12529	43.43	22149
56	9861	12744	43.62	22605
57	9800	13029	42.93	22829
58	9950	12970	43.41	22920
59	9938	12713	43.87	22651
60	9895	13107	43.02	23002
61	9925	12895	43.49	22820
62	9715	12718	43.31	22433
63	9971	12729	43.93	22700
64	9740	12778	43.25	22518
65	9815	12694	43.60	22509
66	9809	12986	43.03	22795
67	9944	12942	43.45	22886
68	10036	12939	43.68	22975
69	9941	13032	43.27	22973
70	9977	13020	43.38	22997
71	9788	12873	43.19	22661
72	9853	12978	43.16	22831
73	9773	12640	43.60	22413
74	10008	12887	43.71	22895
75	9831	12746	43.54	22577
76	9793	12998	42.97	22791
77	9797	12780	43.39	22577
78	10027	12741	44.04	22768
79	10040	12859	43.84	22899
80	9978	13228	43.00	23206
81	10156	12864	44.12	23020
82	9959	13136	43.12	23095
83	9832	12495	44.04	22327
84	9993	12836	43.77	22829
85	9980	13026	43.38	23006
86	9972	13096	43.23	23068
87	9869	13046	43.07	22915
88	9922	12790	43.69	22712
89	9893	12909	43.39	22802
90	9693	12879	42.94	22572
91	9951	12898	43.55	22849
92	9919	12949	43.38	22868
93	9937	12973	43.37	22910
94	9873	12612	43.91	22485
95	9866	12858	43.42	22724
96	9817	12903	43.21	22720
97	9927	12953	43.39	22880
98	10094	12916	43.87	23010
99	9926	13079	43.15	23005
100	9933	12678	43.93	22611
101	9996	12930	43.60	22926
102	10005	12969	43.55	22974
103	10012	12945	43.61	22957
104	10096	12774	44.15	22870
105	9884	13069	43.06	22953
106	9710	12845	43.05	22555
107	9994	12917	43.62	22911
108	9983	12929	43.57	22912
109	9787	13014	42.92	22801
110	9969	13004	43.39	22973
111	9937	13122	43.09	23059
112	9874	12905	43.35	22779
113	9967	13036	43.33	23003
114	9771	12760	43.37	22531
115	9745	12777	43.27	22522
116	9829	12655	43.72	22484
117	10042	13060	43.47	23102
118	9898	12706	43.79	22604
119	9970	12764	43.86	22734
120	10007	12979	43.54	22986
121	9953	12982	43.40	22935
122	9864	12960	43.22	22824
123	10055	12884	43.83	22939
124	9955	12500	44.33	22455
125	9672	12504	43.61	22176
126	9809	12786	43.41	22595
127	10056	12982	43.65	23038
128	9906	12803	43.62	22709
129	10063	12927	43.77	22990
130	9763	12994	42.90	22757
131	9786	12746	43.43	22532
132	9953	12865	43.62	22818
133	10010	12948	43.60	22958
134	10010	12671	44.13	22681
135	9871	12794	43.55	22665
136	10068	12778	44.07	22846
137	9845	12686	43.70	22531
138	9965	12829	43.72	22794
139	9934	12905	43.50	22839
140	10031	12168	45.19	22199

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	992	113586	0.87	114578
2	1255	103648	1.20	104903
3	892	103947	0.85	104839
4	903	105221	0.85	106124
5	831	106203	0.78	107034
6	844	105493	0.79	106337
7	998	105767	0.93	106765
8	873	104506	0.83	105379
9	875	106688	0.81	107563
10	915	107322	0.85	108237
11	847	106994	0.79	107841
12	873	107341	0.81	108214
13	876	106839	0.81	107715
14	898	107082	0.83	107980
15	874	108697	0.80	109571
16	936	107925	0.86	108861
17	871	107465	0.80	108336
18	834	106719	0.78	107553
19	864	107982	0.79	108846
20	856	107487	0.79	108343
21	877	106089	0.82	106966
22	901	106428	0.84	107329
23	895	108203	0.82	109098
24	883	108887	0.80	109770
25	889	109953	0.80	110842
26	870	108409	0.80	109279
27	848	109021	0.77	109869
28	920	109529	0.83	110449
29	932	109199	0.85	110131
30	873	108026	0.80	108899
31	813	108207	0.75	109020
32	876	108410	0.80	109286
33	938	109135	0.85	110073
34	893	109244	0.81	110137
35	889	108987	0.81	109876
36	924	109078	0.84	110002
37	904	109988	0.82	110892
38	882	109030	0.80	109912
39	903	108853	0.82	109756
40	903	108613	0.82	109516
41	936	107765	0.86	108701
42	856	109123	0.78	109979
43	879	109737	0.79	110616
44	853	108653	0.78	109506
45	928	109583	0.84	110511
46	935	109417	0.85	110352
47	922	109980	0.83	110902
48	922	110169	0.83	111091
49	922	110528	0.83	111450
50	878	109880	0.79	110758
51	882	108303	0.81	109185
52	864	109282	0.78	110146
53	888	109264	0.81	110152
54	892	109191	0.81	110083
55	868	110140	0.78	111008
56	954	109602	0.86	110556
57	931	109820	0.84	110751
58	941	109598	0.85	110539
59	852	109960	0.77	110812
60	935	109609	0.85	110544
61	873	107839	0.80	108712
62	907	108833	0.83	109740
63	857	108964	0.78	109821
64	907	108662	0.83	109569
65	851	108889	0.78	109740
66	851	109889	0.77	110740
67	901	109113	0.82	110014
68	836	110597	0.75	111433
69	863	110095	0.78	110958
70	923	110156	0.83	111079
71	905	109170	0.82	110075
72	890	109780	0.80	110670
73	919	109398	0.83	110317
74	874	108921	0.80	109795
75	883	108262	0.81	109145
76	858	109611	0.78	110469
77	934	110844	0.84	111778
78	900	110773	0.81	111673
79	934	110122	0.84	111056
80	902	109795	0.81	110697
81	873	109066	0.79	109939
82	877	109429	0.80	110306
83	881	110223	0.79	111104
84	882	109807	0.80	110689
85	873	109865	0.79	110738
86	930	109604	0.84	110534
87	898	109484	0.81	110382
88	908	109257	0.82	110165
89	934	108553	0.85	109487
90	847	109856	0.77	110703
91	909	108852	0.83	109761
92	1010	109347	0.92	110357
93	942	109371	0.85	110313
94	890	108729	0.81	109619
95	836	109004	0.76	109840
96	868	110103	0.78	110971
97	849	109496	0.77	110345
98	926	110148	0.83	111074
99	945	109616	0.85	110561
100	899	110531	0.81	111430
101	854	109968	0.77	110822
102	948	109455	0.86	110403
