CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	56454	17484	76.35	73938
2	53601	15484	77.59	69085
3	51678	14689	77.87	66367
4	50405	15252	76.77	65657
5	49830	15060	76.79	64890
6	48094	15017	76.21	63111
7	49255	14646	77.08	63901
8	48113	14550	76.78	62663
9	49608	14895	76.91	64503
10	48914	14903	76.65	63817
11	49414	15013	76.70	64427
12	48782	14843	76.67	63625
13	49629	15203	76.55	64832
14	49053	15196	76.35	64249
15	49325	14726	77.01	64051
16	49346	14815	76.91	64161
17	49583	14875	76.92	64458
18	49074	14895	76.72	63969
19	49650	15287	76.46	64937
20	50162	14975	77.01	65137
21	49788	15240	76.56	65028
22	49634	15024	76.76	64658
23	49641	14953	76.85	64594
24	49393	14828	76.91	64221
25	49693	15211	76.56	64904
26	49760	15079	76.74	64839
27	49671	15110	76.68	64781
28	50300	15292	76.69	65592
29	49828	15099	76.74	64927
30	49346	15182	76.47	64528
31	49077	14819	76.81	63896
32	49218	14921	76.74	64139
33	49381	14536	77.26	63917
34	49162	14789	76.87	63951
35	49343	14580	77.19	63923
36	49443	15158	76.54	64601
37	49903	15115	76.75	65018
38	50299	14958	77.08	65257
39	49809	14904	76.97	64713
40	49304	14742	76.98	64046
41	49896	14928	76.97	64824
42	49864	15104	76.75	64968
43	49994	15028	76.89	65022
44	49217	14851	76.82	64068
45	49529	14918	76.85	64447
46	49458	14844	76.92	64302
47	50858	15228	76.96	66086
48	50309	14765	77.31	65074
49	49925	14838	77.09	64763
50	49831	14932	76.94	64763
51	50858	14621	77.67	65479
52	50277	15018	77.00	65295
53	50097	15119	76.82	65216
54	49186	14716	76.97	63902
55	49018	14654	76.99	63672
56	50326	14790	77.29	65116
57	50594	14891	77.26	65485
58	49916	14734	77.21	64650
59	50047	14962	76.98	65009
60	49930	14555	77.43	64485
61	50057	15152	76.76	65209
62	49473	14823	76.95	64296
63	49792	14706	77.20	64498
64	50006	14750	77.22	64756
65	49630	14483	77.41	64113
66	49726	14735	77.14	64461
67	50434	14788	77.33	65222
68	49957	14676	77.29	64633
69	50368	14855	77.22	65223
70	50696	15063	77.09	65759
71	50023	14677	77.32	64700
72	50073	14761	77.23	64834
73	49512	14935	76.83	64447
74	50396	14675	77.45	65071
75	49794	14599	77.33	64393
76	49743	14699	77.19	64442
77	49764	14756	77.13	64520
78	50377	14854	77.23	65231
79	50277	14620	77.47	64897
80	50325	14952	77.09	65277
81	50800	14733	77.52	65533
82	50012	14646	77.35	64658
83	50230	14726	77.33	64956
84	50653	14936	77.23	65589
85	50556	14708	77.46	65264
86	50546	14819	77.33	65365
