CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	9340	32440	22.36	41780
2	9050	28357	24.19	37407
3	8675	27948	23.69	36623
4	8427	28489	22.83	36916
5	8388	27487	23.38	35875
6	8147	27761	22.69	35908
7	8409	27237	23.59	35646
8	8312	27304	23.34	35616
9	8263	27649	23.01	35912
10	8200	27194	23.17	35394
11	8308	28062	22.84	36370
12	8231	27866	22.80	36097
13	8230	27972	22.73	36202
14	8230	28060	22.68	36290
15	8384	28041	23.02	36425
16	8329	28053	22.89	36382
17	8367	27959	23.03	36326
18	8176	27976	22.62	36152
19	8543	28189	23.26	36732
20	8440	28033	23.14	36473
21	8363	28501	22.69	36864
22	8216	27955	22.71	36171
23	8276	27824	22.93	36100
24	8158	27971	22.58	36129
25	8488	28390	23.02	36878
26	8513	28903	22.75	37416
27	8531	28314	23.15	36845
28	8348	28382	22.73	36730
29	8148	28140	22.45	36288
30	8286	28116	22.76	36402
31	8208	27867	22.75	36075
32	8268	27582	23.06	35850
33	8215	28202	22.56	36417
34	8279	28171	22.71	36450
35	8251	27921	22.81	36172
36	8193	27790	22.77	35983
37	8639	28404	23.32	37043
38	8417	28272	22.94	36689
39	8420	28565	22.77	36985
40	8347	27622	23.21	35969
41	8391	28250	22.90	36641
42	8447	28112	23.11	36559
43	8337	28339	22.73	36676
44	8342	27663	23.17	36005
45	8349	28186	22.85	36535
46	8447	28071	23.13	36518
47	8619	28562	23.18	37181
48	8294	28218	22.72	36512
49	8542	28520	23.05	37062
50	8302	28170	22.76	36472
51	8515	28561	22.97	37076
52	8377	28581	22.67	36958
53	8219	27769	22.84	35988
54	8222	27886	22.77	36108
55	8389	27567	23.33	35956
56	8568	28139	23.34	36707
57	8348	28505	22.65	36853
58	8572	28496	23.13	37068
59	8533	28304	23.16	36837
60	8354	28038	22.96	36392
61	8592	28222	23.34	36814
62	8325	27718	23.10	36043
63	8542	28013	23.37	36555
64	8527	28083	23.29	36610
65	8489	27374	23.67	35863
66	8198	27888	22.72	36086
67	8562	28104	23.35	36666
68	8494	28089	23.22	36583
69	8371	28106	22.95	36477
70	8644	28456	23.30	37100
71	8443	28282	22.99	36725
72	8547	28001	23.39	36548
73	8251	28220	22.62	36471
74	8496	27982	23.29	36478
75	8455	27661	23.41	36116
76	8324	28415	22.66	36739
77	8467	28066	23.18	36533
78	8603	28281	23.32	36884
79	8704	27915	23.77	36619
80	8575	28158	23.34	36733
81	8498	28267	23.11	36765
82	8382	28035	23.02	36417
83	8410	28131	23.02	36541
84	8543	27980	23.39	36523
85	8408	28162	22.99	36570
86	8513	28308	23.12	36821
87	8633	28435	23.29	37068
88	8708	27982	23.73	36690
89	8372	27869	23.10	36241
90	8507	28312	23.10	36819
91	8400	28123	23.00	36523
92	8594	27940	23.52	36534
93	8502	28145	23.20	36647
94	8497	27623	23.52	36120
95	8485	27987	23.26	36472
96	8502	27953	23.32	36455
97	8599	28145	23.40	36744
98	8508	28019	23.29	36527
99	8554	27757	23.56	36311
100	8465	27812	23.33	36277
101	8490	28285	23.09	36775
102	8601	28050	23.47	36651
103	8565	28336	23.21	36901
104	8558	28187	23.29	36745
105	8549	28110	23.32	36659
106	8234	27924	22.77	36158
107	8549	28060	23.35	36609
108	8664	28246	23.47	36910
109	8502	27990	23.30	36492
110	8588	28523	23.14	37111
111	8629	28517	23.23	37146
112	8430	28316	22.94	36746
113	8619	27922	23.59	36541
114	8431	27868	23.23	36299
115	8397	27618	23.32	36015
116	8480	27898	23.31	36378
117	8707	28457	23.43	37164
118	8624	27928	23.59	36552
119	8497	27804	23.41	36301
120	8444	27943	23.21	36387
121	8633	28047	23.54	36680
122	8543	28208	23.25	36751
123	8570	28021	23.42	36591
124	8300	27895	22.93	36195
125	8352	27919	23.03	36271
126	8321	27834	23.01	36155
127	8531	27825	23.47	36356
128	8493	27894	23.34	36387
129	8582	28337	23.25	36919
130	8513	27894	23.38	36407
131	8403	27951	23.11	36354
132	8512	27992	23.32	36504
133	8609	28221	23.37	36830
134	8534	28106	23.29	36640
135	8558	27817	23.53	36375
136	8617	27820	23.65	36437
137	8490	27521	23.58	36011
138	8488	27604	23.52	36092
139	8569	27458	23.78	36027
140	8658	26147	24.88	34805

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	852	187036	0.45	187888
2	927	164755	0.56	165682
3	659	168501	0.39	169160
4	718	170975	0.42	171693
5	639	170858	0.37	171497
6	702	171260	0.41	171962
7	748	171442	0.43	172190
8	733	170037	0.43	170770
9	746	171794	0.43	172540
10	722	173454	0.41	174176
11	697	174179	0.40	174876
12	740	173197	0.43	173937
13	810	172798	0.47	173608
14	795	174208	0.45	175003
15	705	175522	0.40	176227
16	772	175294	0.44	176066
17	729	173027	0.42	173756
18	766	174013	0.44	174779
19	711	174940	0.40	175651
20	722	173704	0.41	174426
21	748	173179	0.43	173927
22	741	173314	0.43	174055
23	743	175251	0.42	175994
24	723	177504	0.41	178227
25	753	178174	0.42	178927
26	743	175931	0.42	176674
27	796	176125	0.45	176921
28	746	176061	0.42	176807
29	702	177243	0.39	177945
30	765	174018	0.44	174783
